条件,打率,打席,打数,安打,2塁,3塁,本塁,打点,三振,四球,死球,犠打,犠飛,出塁率
無し,0.25,203,196,49,11,0,4,4,44,6,1,0,0,0.276
1塁,0.277,87,83,23,4,1,4,11,17,4,0,0,0,0.31
2塁,0.24,30,25,6,2,0,0,4,6,5,0,0,0,0.367
3塁,0.375,10,8,3,0,0,0,4,2,1,0,0,1,0.4
1・2塁,0.367,32,30,11,4,0,1,13,11,1,1,0,0,0.406
1・3塁,0.083,16,12,1,0,0,0,2,6,3,0,0,1,0.25
2・3塁,0.143,9,7,1,0,0,0,1,2,2,0,0,0,0.333
満塁,0.0,9,7,0,0,0,0,2,1,1,0,0,1,0.111
得点圏,0.247,106,89,22,6,0,1,26,28,13,1,0,3,0.34
