球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,524,37.0%,147.1,33,86,109,198,43.5%,13.8%,.242,120,29,2,23,11,1
スライダー,201,14.2%,128.8,47,26,19,72,45.8%,45.6%,.250,52,13,0,16,1,0
チェンジアップ,162,11.4%,125.4,49,18,18,50,52.5%,52.1%,.260,50,13,1,23,0,0
フォーク,141,10.0%,135.4,44,5,22,42,50.4%,46.8%,.209,43,9,1,15,3,1
カットボール,121,8.5%,136.4,19,12,18,35,40.5%,25.7%,.231,39,9,2,2,0,0
カーブ,79,5.6%,116.8,7,21,9,32,46.8%,26.9%,.231,13,3,1,3,2,0
ツーシーム,58,4.1%,140.2,3,11,12,16,44.8%,9.7%,.333,18,6,1,2,1,0
スプリット,54,3.8%,139.5,13,2,10,19,46.3%,39.4%,.308,13,4,0,3,1,0
シュート,28,2.0%,143.7,0,1,11,5,42.9%,0.0%,.500,10,5,0,0,1,0
ナックルカーブ,23,1.6%,124.7,2,4,2,11,34.8%,25.0%,.200,5,1,1,1,0,0
縦スライダー,12,0.8%,129.1,2,0,0,8,16.7%,50.0%,.333,3,1,0,1,1,0
シンカー,6,0.4%,128.8,2,0,2,0,66.7%,33.3%,.500,2,1,0,0,0,0
スクリュー,5,0.4%,136.6,1,1,1,2,60.0%,50.0%,-,0,0,0,0,0,0
パワーカーブ,1,0.1%,121.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
ワンシーム,1,0.1%,144.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
