守備位置,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
捕手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
一塁手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
二塁手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
三塁手,.260,23,96,77,10,20,4,0,6,42,20,14,19,2,0,0,0,0,0,1,.406,.545,0.952
遊撃手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
左翼手,.205,34,132,122,17,25,6,0,12,67,17,35,10,1,0,0,0,0,0,1,.265,.549,0.814
中堅手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
右翼手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
指名打者,.222,3,13,9,0,2,1,0,0,3,1,3,4,0,0,0,0,0,0,0,.462,.333,0.795
途中出場,.250,15,16,16,2,4,1,0,2,11,5,7,0,0,0,0,0,0,0,0,.250,.688,0.938
