打率.213,試合91,打席179,打数160,得点23,安打34,内安6,内安率17.6,２Ｂ9,３Ｂ0,本塁0,HR勝敗0,塁打43,打点10,三振32
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
17,5,0,1,1,22,8,73.3,7,0,1,.375,.287,.269,.555
