HQS率23.1%,SQS率23.1%,被打率.231,被BABIP.293,被出塁率.304,被長打率.320,K/BB2.80,K/98.25,BB/92.95,HR/90.47,GO/AO1.15,援護率2.85,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.76,77.2%,2.37,0.27,-0.22,269,0.0,79,25,0.0,0,0,0,
