アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,21,44.7%,安打,16,72.7%
フライ,12,25.5%,四死球,6,27.3%
空三振,11,23.4%,失策出塁,0,0.0%
見三振,3,6.4%,野選,0,0.0%
犠打,0,0.0%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
