打席数,打数,安打,打率,本塁,三振,四死,犠打,犠飛,出塁率
1打席目,14,2,0.143,0,2,1,0,0,0.2
2打席目,12,3,0.25,0,3,3,0,0,0.4
3打席目,15,4,0.267,0,4,0,0,0,0.267
4打席目,9,1,0.111,0,3,1,0,0,0.2
5打席目以上,3,1,0.333,0,1,0,0,0,0.333
