球場,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
東京ドーム,.279,25,65,61,4,17,3,2,0,24,4,15,2,0,0,2,0,2,1,1,.302,.393,0.695
甲子園,.133,6,18,15,2,2,0,0,0,2,0,5,1,0,1,1,0,0,1,0,.235,.133,0.369
横浜,.182,6,12,11,1,2,0,0,0,2,1,4,1,1,0,0,0,0,0,1,.250,.182,0.432
マツダスタジアム,.600,4,6,5,0,3,0,0,0,3,0,0,0,0,0,1,0,0,0,0,.600,.600,1.2
神宮,.000,4,7,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.143,.000,0.143
バンテリンドーム,.250,5,4,4,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.250,.250,0.5
Ce その他,.000,3,6,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,.167,.000,0.167
みずほPayPay,.375,3,8,8,0,3,0,0,0,3,0,2,0,0,0,0,0,0,1,0,.375,.375,0.75
エスコンＦ,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
ZOZOマリン,.250,2,6,4,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,.400,.250,0.65
楽天モバイル,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
京セラD大阪,.286,3,8,7,3,2,1,0,0,3,0,1,0,0,0,1,0,1,0,0,.286,.429,0.714
ベルーナドーム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
Pa その他,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
