条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右打者,0.29,278,255,74,8,1,6,47,18,1,4,0
対左打者,0.27,181,163,44,7,1,2,29,9,2,4,3
