アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,122,39.6%,安打,118,78.1%
フライ,102,33.1%,四死球,30,19.9%
空三振,66,21.4%,失策出塁,3,2.0%
見三振,10,3.2%,野選,0,0.0%
犠打,8,2.6%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
