HQS率-,SQS率-,被打率.217,被BABIP.281,被出塁率.308,被長打率.299,K/BB1.83,K/97.66,BB/94.18,HR/90.17,GO/AO0.94,援護率-,IPR3.44,NHB%20.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.60,78.3%,3.76,0.44,5.06,335,9.1,0,0,51.2,15,10,39,
