種別,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
Home,1.88,23,0,23,1,0,7,0,8,1,1,0,24.0,22,1,21,8,0,8,5,1.25,0.247,-,3.0
Visitor,2.28,27,0,27,3,1,7,0,10,3,3,1,27.2,18,0,23,16,0,7,7,1.23,0.189,-,3.95
