防御率2.09,試合50,先発0,救援50,連投(試)0,連投(日)0,勝利4,敗戦1,HLD14,Ｓ0,ＨＰ18,ＳＰ4,救勝4,救敗1,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.800,51.2,214,870,16.8,40,1,44,24,2,0,2,0,15,12,1.24,-
