HQS率-,SQS率-,被打率.353,被BABIP.333,被出塁率.500,被長打率.588,K/BB0.25,K/92.25,BB/99.00,HR/92.25,GO/AO0.43,援護率-,IPR1.00,NHB%0.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
9.24,72.9%,-2.51,-0.29,-2.65,12,2.0,0,0,4.0,4,0,2,
