NOI263.9,GPA.131,RC0.12,RC270.45,XR0.19,XR270.75,RCAA-0.74,XR+-0.67,RCWIN-0.09,XRWIN-0.08,BABIP.167
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.50,0.097,9.00,4.50,0.000,-,0.125,0.286,-,33.3%,
