防御率2.50,試合16,先発16,救援0,連投(試)0,連投(日)0,勝利6,敗戦5,HLD0,Ｓ0,ＨＰ0,ＳＰ0,救勝0,救敗0,完投1,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.545,93.2,377,1364,14.6,74,10,44,16,0,9,0,0,30,26,0.96,56.3%
