条件,1回,2回,3回,4回,5回,6回,7回,8回,9回,10回,11回,12回,合計
勝利,2,0,2,0,0,1,0,1,0,0,0,0,6
敗戦,1,3,6,3,0,4,0,2,0,0,0,0,19
勝敗無,0,0,3,2,0,0,0,0,0,0,0,0,5
