球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ストレート,525,38.5%,131.0,24,103,118,164,46.7%,9.3%,0.256,125,32,4,14,6,4
カーブ,362,26.5%,105.2,37,63,62,116,44.8%,20.2%,0.141,99,14,4,17,4,1
スライダー,244,17.9%,118.6,32,44,32,79,44.3%,26.4%,0.23,61,14,1,7,3,2
シンカー,233,17.1%,126.8,11,41,53,77,45.1%,9.6%,0.25,56,14,1,6,3,2
