HQS率12.5%,SQS率18.8%,被打率.217,被BABIP.220,被出塁率.268,被長打率.334,K/BB2.75,K/94.23,BB/91.54,HR/90.96,GO/AO0.72,援護率3.03,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.99,81.2%,4.81,0.56,5.63,341,0.0,101,34,0.0,0,0,0,
