HQS率-,SQS率-,被打率.250,被BABIP.273,被出塁率.294,被長打率.500,K/BB4.00,K/99.82,BB/92.45,HR/92.45,GO/AO0.75,援護率-,IPR0.92,NHB%50.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
4.95,27.8%,-2.67,-0.31,-0.79,11,2.0,0,0,3.2,4,2,2,
