条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右投手,0.167,88,78,13,5,0,1,19,6,0,3,1
対左投手,0.231,31,26,6,0,0,0,4,1,0,4,0
