NOI318.7,GPA.169,RC6.37,RC271.85,XR6.92,XR272.01,RCAA-4.94,XR+-4.45,RCWIN-0.58,XRWIN-0.52,BABIP.222
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.30,0.049,17.00,5.17,0.077,104.00,0.154,0.412,1.00,26.1%,
