打席数,打数,安打,打率,本塁,三振,四死,犠打,犠飛,出塁率
1打席目,27,5,0.185,0,6,1,2,0,0.214
2打席目,29,8,0.276,0,4,0,1,0,0.276
3打席目,21,2,0.095,0,5,4,2,1,0.231
4打席目,14,3,0.214,1,4,1,1,0,0.267
5打席目以上,4,0,0.0,0,2,1,1,0,0.2
