打率.232,試合84,打席198,打数185,得点15,安打43,内安8,内安率18.6,２Ｂ7,３Ｂ0,本塁3,HR勝敗2-0-0,塁打59,打点11,三振34
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
1,0,2,8,2,3,0,100.0,2,0,4,.128,.242,.319,.561
