NOI348.4,GPA.189,RC13.35,RC272.31,XR13.95,XR272.41,RCAA-6.14,XR+-5.77,RCWIN-0.71,XRWIN-0.67,BABIP.267
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.03,0.010,198.00,5.82,0.086,61.67,0.108,0.445,3.00,19.2%,
