条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右投手,0.248,130,121,30,6,0,0,20,1,1,6,1
対左投手,0.203,68,64,13,1,0,3,14,0,1,2,1
