左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
45.7% (69),45.7% (69),45.7% (69),22.5% (34),22.5% (34),22.5% (34),31.8% (48),31.8% (48),31.8% (48)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
52.5% (21),100.0% (3),41.7% (45),25.0% (10),0.0% (0),22.2% (24),22.5% (9),0.0% (0),36.1% (39)
