NOI478.0,GPA.255,RC45.79,RC274.93,XR44.67,XR274.81,RCAA10.72,XR+9.42,RCWIN1.26,XRWIN1.11,BABIP.306
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.70,0.078,9.22,6.47,0.132,54.33,0.258,0.690,5.45,27.9%,
