NOI222.2,GPA.117,RC-0.02,RC27-0.08,XR0.02,XR270.10,RCAA-0.59,XR+-0.56,RCWIN-0.07,XRWIN-0.07,BABIP.500
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,-0.000,-,1.50,-0.000,-,0.000,0.200,-,66.7%,
