HQS率66.7%,SQS率66.7%,被打率.192,被BABIP.254,被出塁率.250,被長打率.264,K/BB4.10,K/99.27,BB/92.26,HR/90.54,GO/AO0.67,援護率3.89,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.26,89.5%,33.06,3.82,29.40,621,0.0,176,76,0.0,0,0,0,
