条件,1回,2回,3回,4回,5回,6回,7回,8回,9回,10回,11回,12回,合計
勝利,1,4,1,0,1,0,2,0,0,0,0,0,9
敗戦,0,2,2,1,2,3,0,1,0,0,0,0,11
勝敗無,2,0,1,1,1,1,3,0,0,0,0,0,9
