NOI373.7,GPA.196,RC6.47,RC272.50,XR6.95,XR272.68,RCAA-2.78,XR+-2.42,RCWIN-0.32,XRWIN-0.28,BABIP.316
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.25,0.056,13.43,3.36,0.059,85.00,0.153,0.471,1.00,38.3%,
