球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,151,38.2%,146.8,19,33,29,52,53.6%,28.8%,.114,35,4,1,18,2,0
スライダー,72,18.2%,131.3,3,14,9,35,36.1%,13.0%,.154,13,2,0,2,1,0
カットボール,50,12.7%,136.8,8,12,11,10,62.0%,28.6%,.273,11,3,0,2,0,0
フォーク,29,7.3%,135.3,2,5,5,14,41.4%,20.0%,.500,4,2,0,1,1,0
チェンジアップ,22,5.6%,124.3,1,2,8,8,50.0%,8.3%,.250,4,1,0,1,0,0
カーブ,21,5.3%,115.8,1,6,1,11,38.1%,25.0%,.667,3,2,0,1,1,0
ツーシーム,20,5.1%,143.9,3,2,3,5,40.0%,23.1%,.429,7,3,0,0,1,0
スプリット,15,3.8%,136.5,3,2,3,4,53.3%,33.3%,.000,5,0,0,2,0,0
ナックルカーブ,5,1.3%,125.4,1,2,0,2,60.0%,100.0%,.000,1,0,0,1,0,0
シンカー,5,1.3%,127.5,1,1,0,1,40.0%,33.3%,1.000,2,2,0,0,0,0
シュート,4,1.0%,140.0,0,0,1,3,25.0%,0.0%,-,0,0,0,0,1,0
パワーカーブ,1,0.3%,-,0,0,0,0,0.0%,0.0%,-,0,0,0,0,0,0
