打率.281,試合137,打席557,打数513,得点41,安打144,内安17,内安率11.8,２Ｂ14,３Ｂ0,本塁3,HR勝敗1-2-0,塁打167,打点51,三振102
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
28,2,3,10,3,6,2,75.0,10,0,14,.355,.320,.326,.645
