NOI392.2,GPA.207,RC9.93,RC272.60,XR10.08,XR272.64,RCAA-3.65,XR+-3.66,RCWIN-0.42,XRWIN-0.42,BABIP.287
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.35,0.062,12.55,4.45,0.079,63.50,0.165,0.485,0.00,31.9%,
