球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,124,48.1%,149.2,5,23,31,43,47.6%,8.6%,.300,20,6,1,0,5,0
スライダー,31,12.0%,130.7,8,4,3,15,48.4%,66.7%,.000,4,0,0,4,1,0
フォーク,24,9.3%,137.8,0,2,3,15,20.8%,0.0%,.000,4,0,0,0,1,0
カーブ,22,8.5%,110.0,0,5,3,11,36.4%,0.0%,.000,4,0,0,1,0,0
スプリット,16,6.2%,138.4,0,2,3,10,31.3%,0.0%,.000,2,0,0,1,0,0
カットボール,13,5.0%,136.0,2,0,2,8,30.8%,40.0%,.500,2,1,0,1,1,0
チェンジアップ,10,3.9%,132.4,2,0,1,6,30.0%,50.0%,.000,2,0,0,1,0,0
シンカー,7,2.7%,135.9,3,1,1,1,71.4%,60.0%,.000,2,0,0,1,0,0
縦スライダー,3,1.2%,131.0,0,0,0,3,0.0%,-%,-,0,0,0,0,0,0
ナックルカーブ,3,1.2%,124.0,0,1,0,1,33.3%,0.0%,.000,1,0,0,0,0,0
シュート,2,0.8%,137.5,0,0,1,0,50.0%,0.0%,.000,1,0,0,0,0,0
ツーシーム,2,0.8%,149.5,0,0,1,1,50.0%,0.0%,-,0,0,0,0,0,0
高速スライダー,1,0.4%,135.0,0,0,1,0,100.0%,0.0%,-,0,0,0,0,0,0
