種別,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
DayGame,1.88,12,0,12,1,1,5,0,6,1,1,1,14.1,8,0,14,6,1,3,3,0.98,0.17,-,4.78
Nighter,0.32,28,0,28,3,0,16,5,19,8,3,0,28.1,17,0,35,5,2,1,1,0.78,0.175,-,28.33
