防御率5.02,試合15,先発0,救援15,連投(試)0,連投(日)0,勝利2,敗戦0,HLD1,Ｓ0,ＨＰ3,ＳＰ2,救勝2,救敗0,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
1.000,14.1,54,236,16.5,9,1,13,4,1,0,1,0,8,8,0.91,-
