HQS率-,SQS率-,被打率.180,被BABIP.222,被出塁率.241,被長打率.300,K/BB3.25,K/98.16,BB/92.51,HR/90.63,GO/AO0.35,援護率-,IPR1.79,NHB%60.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.46,43.1%,-2.67,-0.31,-3.16,73,1.1,0,0,14.1,8,9,12,
