防御率3.62,試合7,先発5,救援2,連投(試)0,連投(日)0,勝利2,敗戦2,HLD0,Ｓ0,ＨＰ0,ＳＰ0,救勝0,救敗1,完投1,完封1,無四球1
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.500,32.1,136,504,15.6,30,4,34,9,1,0,0,0,16,13,1.21,60.0%
