HQS率40.0%,SQS率40.0%,被打率.242,被BABIP.299,被出塁率.291,被長打率.355,K/BB3.78,K/99.46,BB/92.51,HR/91.11,GO/AO0.94,援護率3.10,IPR0.58,NHB%0.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.98,68.9%,-3.98,-0.46,-2.08,117,2.1,29,10,2.1,4,0,0,
