防御率4.50,試合8,先発0,救援8,連投(試)0,連投(日)0,勝利0,敗戦0,HLD1,Ｓ0,ＨＰ1,ＳＰ0,救勝0,救敗0,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
-,8.0,33,123,15.4,9,1,7,2,0,0,0,0,4,4,1.38,-
