HQS率-,SQS率-,被打率.300,被BABIP.348,被出塁率.333,被長打率.500,K/BB3.50,K/97.88,BB/92.25,HR/91.13,GO/AO0.67,援護率-,IPR2.00,NHB%12.5%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.40,72.9%,-1.10,-0.13,-1.36,34,2.0,0,0,8.0,4,1,6,
