球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ストレート,76,61.8%,148.2,12,9,22,18,56.6%,24.5%,0.235,17,4,1,3,1,0
カットボール,28,22.8%,136.3,4,1,3,15,28.6%,33.3%,0.429,7,3,0,2,1,0
フォーク,19,15.4%,137.9,4,0,4,7,42.1%,33.3%,0.333,6,2,0,2,0,0
