打率.220,試合105,打席281,打数246,得点24,安打54,内安3,内安率5.6,２Ｂ11,３Ｂ2,本塁0,HR勝敗0,塁打69,打点21,三振76
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
10,1,1,24,0,0,0,-,1,4,4,.267,.253,.280,.533
