NOI346.4,GPA.184,RC16.17,RC271.98,XR15.74,XR271.93,RCAA-11.50,XR+-12.25,RCWIN-1.33,XRWIN-1.42,BABIP.318
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.13,0.033,28.10,3.70,0.061,-,0.102,0.408,-,30.6%,
