打席数,打数,安打,打率,本塁,三振,四死,犠打,犠飛,出塁率
1打席目,75,18,0.24,0,17,2,5,0,0.26
2打席目,65,12,0.185,0,21,3,13,0,0.221
3打席目,56,11,0.196,0,20,2,5,0,0.224
4打席目,37,10,0.27,0,13,3,1,0,0.325
5打席目以上,5,1,0.2,0,1,0,0,0,0.2
