球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ストレート,468,49.8%,148.8,34,71,102,145,44.2%,13.5%,0.322,115,37,3,12,10,2
フォーク,215,22.9%,137.4,42,13,36,85,42.3%,35.9%,0.217,60,13,1,22,7,0
スライダー,140,14.9%,130.4,14,28,28,59,50.0%,26.4%,0.25,16,4,0,5,2,0
カーブ,41,4.4%,110.8,3,8,4,20,36.6%,23.1%,0.5,6,3,0,1,0,0
チェンジアップ,39,4.2%,127.4,4,7,6,17,43.6%,26.7%,0.429,7,3,0,2,1,0
カットボール,36,3.8%,140.1,5,6,7,12,50.0%,27.8%,0.0,6,0,0,1,0,0
