条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.179,34,28,5,0,1,0,0,1,2,2,1,0.25
1-0より,.176,19,17,3,1,0,0,0,0,1,1,0,0.222
2-0より,.000,2,2,0,0,0,0,0,0,0,0,0,0.0
3-0より,-,4,0,0,0,0,0,0,4,0,0,0,1.0
0-1より,.231,27,26,6,2,0,1,0,0,1,0,0,0.259
1-1より,.333,22,21,7,2,0,0,0,0,0,0,1,0.318
2-1より,.267,16,15,4,0,0,0,0,0,1,0,0,0.313
3-1より,.250,16,8,2,1,0,0,0,7,0,0,1,0.563
0-2より,.043,46,46,2,0,0,0,31,0,0,0,0,0.043
1-2より,.167,62,60,10,0,0,0,35,0,0,2,0,0.167
2-2より,.093,55,54,5,0,0,0,29,0,1,0,0,0.109
3-2より,.237,46,38,9,1,1,0,18,8,0,0,0,0.37
