防御率1.39,試合15,先発15,救援0,連投(試)0,連投(日)0,勝利6,敗戦3,HLD0,Ｓ0,ＨＰ0,ＳＰ0,救勝0,救敗0,完投2,完封2,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.667,90.2,349,1389,15.3,53,1,113,20,1,6,2,0,19,14,0.81,53.3%
