HQS率26.7%,SQS率26.7%,被打率.168,被BABIP.255,被出塁率.230,被長打率.213,K/BB5.65,K/911.22,BB/91.99,HR/90.10,GO/AO0.85,援護率2.97,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
1.25,77.3%,13.91,1.64,15.94,332,0.0,94,31,0.0,0,0,0,
