防御率2.36,試合51,先発0,救援51,連投(試)0,連投(日)0,勝利3,敗戦2,HLD14,Ｓ0,ＨＰ17,ＳＰ3,救勝3,救敗2,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.600,42.0,172,668,15.9,36,2,29,9,2,4,1,0,12,11,1.07,-
