球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ストレート,229,48.9%,150.3,16,38,44,93,42.8%,16.3%,.250,48,12,2,13,10,2
カーブ,96,20.5%,128.9,8,27,10,40,46.9%,27.6%,.083,12,1,0,2,2,0
スライダー,75,16.0%,133.4,11,15,11,31,49.3%,37.9%,.200,10,2,0,3,1,0
フォーク,47,10.0%,140.3,7,4,7,16,38.3%,25.9%,.278,18,5,0,5,0,0
カットボール,19,4.1%,141.3,5,3,1,6,47.4%,50.0%,.000,5,0,0,2,0,0
チェンジアップ,2,0.4%,133.0,0,2,0,0,100.0%,-%,-,0,0,0,0,0,0
