HQS率-,SQS率-,被打率.215,被BABIP.265,被出塁率.324,被長打率.312,K/BB1.79,K/98.44,BB/94.72,HR/90.68,GO/AO0.92,援護率-,IPR2.22,NHB%15.4%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.56,72.3%,-2.32,-0.27,-3.19,120,7.1,0,0,26.2,12,4,19,
