アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,69,31.5%,安打,66,74.2%
フライ,74,33.8%,四死球,20,22.5%
空三振,61,27.9%,失策出塁,2,2.2%
見三振,12,5.5%,野選,1,1.1%
犠打,3,1.4%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
