条件,打率,打席,打数,安打,2塁,3塁,本塁,打点,三振,四球,死球,犠打,犠飛,出塁率
無し,0.226,197,186,42,4,7,1,1,46,9,2,0,0,0.269
1塁,0.179,46,39,7,1,0,0,0,8,5,0,2,0,0.273
2塁,0.25,23,20,5,0,2,0,3,6,2,0,1,0,0.318
3塁,0.167,6,6,1,0,0,0,1,2,0,0,0,0,0.167
1・2塁,0.353,18,17,6,0,1,0,5,6,1,0,0,0,0.389
1・3塁,0.286,7,7,2,0,0,0,2,1,0,0,0,0,0.286
2・3塁,0.0,4,4,0,0,0,0,1,2,0,0,0,0,0.0
満塁,0.6,6,5,3,0,0,0,5,2,1,0,0,0,0.667
得点圏,0.288,64,59,17,0,3,0,17,19,4,0,1,0,0.333
