月名,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
3・4月,.077,13,13,13,1,1,0,0,0,1,0,3,0,0,0,0,0,1,1,0,.077,.077,0.154
5月,.240,24,53,50,6,12,0,1,0,14,6,15,1,0,0,2,0,7,2,0,.255,.280,0.535
6月,.273,20,60,55,9,15,2,4,0,25,6,12,5,0,0,0,0,2,3,0,.333,.455,0.788
7月,.271,20,77,70,15,19,2,1,1,26,4,12,7,0,0,0,0,8,1,2,.338,.371,0.709
8月,.254,22,65,59,10,15,0,2,0,19,2,17,4,0,1,1,0,5,2,1,.313,.322,0.635
9月,.108,19,39,37,4,4,1,2,0,9,0,14,1,0,1,0,0,2,1,0,.154,.243,0.397
10月,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
11月,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
