球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,397,46.3%,146.4,10,104,63,138,44.6%,6.5%,.230,87,20,1,10,14,3
スライダー,158,18.4%,130.0,11,25,27,67,39.9%,16.7%,.303,33,10,0,6,0,0
カットボール,83,9.7%,137.2,6,24,10,27,48.2%,18.8%,.056,18,1,0,3,1,0
フォーク,54,6.3%,136.6,3,5,14,21,40.7%,10.7%,.231,13,3,0,3,0,0
チェンジアップ,43,5.0%,131.3,5,6,1,18,27.9%,26.3%,.250,16,4,0,3,1,0
ツーシーム,41,4.8%,140.6,1,10,9,15,48.8%,6.3%,.500,6,3,0,0,1,0
カーブ,23,2.7%,116.3,2,6,3,12,47.8%,40.0%,.000,1,0,0,1,0,0
シュート,18,2.1%,141.6,1,4,2,8,38.9%,16.7%,.250,4,1,0,2,0,0
ナックルカーブ,12,1.4%,127.9,0,2,3,4,41.7%,0.0%,.000,3,0,0,0,0,0
スプリット,12,1.4%,134.6,0,0,1,8,8.3%,0.0%,.000,3,0,0,0,0,0
シンカー,11,1.3%,132.8,0,4,0,6,36.4%,0.0%,.500,2,1,0,1,2,0
縦スライダー,3,0.4%,115.3,2,0,0,1,66.7%,100.0%,.000,1,0,0,1,1,0
スラーブ,2,0.2%,124.0,0,2,0,0,100.0%,-%,-,0,0,0,0,0,0
