NOI411.9,GPA.213,RC17.33,RC272.94,XR17.53,XR272.98,RCAA-3.67,XR+-3.59,RCWIN-0.43,XRWIN-0.42,BABIP.268
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.73,0.089,10.05,7.37,0.048,187.00,0.171,0.520,1.00,24.0%,
