NOI411.1,GPA.218,RC0.94,RC273.63,XR0.90,XR273.46,RCAA-0.01,XR+-0.06,RCWIN-0.00,XRWIN-0.01,BABIP.400
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.25,0.078,10.00,2.50,0.111,-,0.222,0.571,-,50.0%,
