月名,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
3・4月,2.31,12,0,12,0,2,3,1,3,1,0,2,11.2,9,2,15,6,0,4,3,1.29,0.209,-,2.92
5月,0.75,12,0,12,1,0,6,0,7,1,1,0,12.0,12,0,20,1,0,2,1,1.08,0.25,-,6.00
6月,0.00,10,0,10,1,0,1,5,2,6,1,0,10.0,2,0,12,6,0,1,0,0.8,0.065,-,10.00
7月,3.60,10,0,10,0,0,0,7,0,7,0,0,10.0,12,0,17,3,3,5,4,1.5,0.3,-,2.00
8月,2.61,11,0,11,1,1,0,9,1,10,1,1,10.1,8,1,9,2,3,3,3,0.97,0.216,-,3.44
9月,2.00,9,0,9,0,1,0,8,0,8,0,1,9.0,4,0,10,5,2,2,2,1.0,0.143,-,4.50
10月,0.00,1,0,1,0,0,0,1,0,1,0,0,1.1,1,0,2,0,1,0,0,0.75,0.2,-,99.00
11月,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
