打順,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
Day,0.667,2,3,3,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0.667,0.667,1.333
Nighter,0.217,42,128,115,11,25,6,0,0,31,6,27,6,0,4,1,2,0,0,1,0.276,0.27,0.545
