NOI377.8,GPA.198,RC10.07,RC272.89,XR10.59,XR273.04,RCAA-2.38,XR+-1.93,RCWIN-0.28,XRWIN-0.23,BABIP.293
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.21,0.056,21.83,4.68,0.051,-,0.102,0.473,-,26.0%,
