HQS率-,SQS率-,被打率.257,被BABIP.316,被出塁率.301,被長打率.330,K/BB3.08,K/97.01,BB/92.28,HR/90.18,GO/AO0.65,援護率-,IPR3.42,NHB%35.8%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.11,77.6%,3.63,0.43,4.95,554,9.0,0,0,51.1,15,19,43,
